source_file,freq_hz,interval_ms,gpu,sample_idx,pcitx_bytes,pcirx_bytes,pcitx_MB,pcirx_MB,pcitx_MBps,pcirx_MBps,pcitx_status,pcirx_status,used_in_task1_baseline
idle_pcie_check_5hz.txt,5,200,GPU4,78,1695414,1531116,1.6954,1.5311,8.477,7.656,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,79,1695414,1531116,1.6954,1.5311,8.477,7.656,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,80,3655386,3581640,3.6554,3.5816,18.277,17.908,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,81,1598527,1404607,1.5985,1.4046,7.993,7.023,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,82,649843,518826,0.6498,0.5188,3.249,2.594,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,83,4479005,4204745,4.479,4.2047,22.395,21.024,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,84,2164393,2025516,2.1644,2.0255,10.822,10.128,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,85,2056960,1965248,2.057,1.9652,10.285,9.826,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,86,4459824,4213511,4.4598,4.2135,22.299,21.068,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,87,4459824,4213511,4.4598,4.2135,22.299,21.068,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,88,3376551,3206444,3.3766,3.2064,16.883,16.032,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,89,3376551,0,3.3766,0.0,16.883,0.0,valid,empty_zero,True
idle_pcie_check_5hz.txt,5,200,GPU4,90,0,2302392,0.0,2.3024,0.0,11.512,empty_zero,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,91,2398230,2184009,2.3982,2.184,11.991,10.92,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,92,3769550,3541331,3.7696,3.5413,18.848,17.707,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,93,2463120,2350445,2.4631,2.3504,12.316,11.752,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,94,2563682,2411799,2.5637,2.4118,12.818,12.059,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,95,2563682,2411799,2.5637,2.4118,12.818,12.059,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,96,2563682,2862281,2.5637,2.8623,12.818,14.311,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,0,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_10hz.txt,10,100,GPU4,1,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_10hz.txt,10,100,GPU4,2,717977,613163,0.718,0.6132,7.18,6.132,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,3,136262,2283250,0.1363,2.2832,1.363,22.832,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,4,1692726,20963,1.6927,0.021,16.927,0.21,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,5,3914872,1587913,3.9149,1.5879,39.149,15.879,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,6,1063883,3595184,1.0639,3.5952,10.639,35.952,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,7,1063862,880455,1.0639,0.8805,10.639,8.805,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,8,2421178,890918,2.4212,0.8909,24.212,8.909,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,9,2311132,2248237,2.3111,2.2482,23.111,22.482,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,10,141506,2190597,0.1415,2.1906,1.415,21.906,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,11,2339271,26204,2.3393,0.0262,23.393,0.262,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,12,3972860,2157327,3.9729,2.1573,39.729,21.573,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,13,1063888,3700316,1.0639,3.7003,10.639,37.003,valid,valid,True
